ID,NAME,ACCOUNT_ID,AMOUNT,CLOSE_DATE,STAGE_NAME,PROBABILITY,FORECAST_CATEGORY_NAME,LEAD_SOURCE,TYPE,DESCRIPTION,NEXT_STEP,CREATED_DATE,LAST_MODIFIED_DATE,CURRENCY_ISO_CODE,IS_CLOSED,IS_WON
006793723830535548,Hamburg Digital - Data Integration,001215400344428713,823443,2024-10-23,Closed Won,100,Closed,Partner Referral,New Customer,Opportunity to provide cloud solutions to Hamburg Digital to address their data challenges requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2024-06-26T07:21:05.735541,2024-07-15T07:21:05.735541,EUR,true,true
006429478555098634,Hamburg Digital - Analytics Solution,001215400344428713,608136,2026-06-22,Needs Analysis,30,Pipeline,Other,New Customer,Opportunity to provide AI-powered insights to Hamburg Digital to address their scalability needs requirements.,Arrange reference customer calls,2025-05-12T07:21:05.735647,2025-06-10T07:21:05.735647,EUR,false,false
006381110474393389,Rennes Biotech - Analytics Solution,001721542235717608,117897,2026-01-09,Prospecting,10,Pipeline,Partner Referral,New Customer,Opportunity to provide digital transformation to Rennes Biotech to address their data challenges requirements.,Arrange product demonstration for key stakeholders,2025-07-07T07:21:05.735847,2025-07-20T07:21:05.735847,EUR,false,false
006185025113881301,LondonCorp Dynamics - Data Integration,001738588377270244,9516651,2024-10-20,Closed Won,100,Closed,Email Campaign,New Customer,Opportunity to provide advanced analytics to LondonCorp Dynamics to address their competitive advantage requirements. Successfully completed implementation and achieved measurable ROI.,Introduce customer success team,2024-06-06T07:21:05.736003,2024-06-30T07:21:05.736003,EUR,true,true
006102785638287856,LondonCorp Dynamics - Process Automation,001738588377270244,12883973,2026-04-27,Qualification,20,Pipeline,Cold Call,New Customer,Opportunity to provide advanced analytics to LondonCorp Dynamics to address their competitive advantage requirements.,Conduct needs assessment workshop,2025-03-28T07:21:05.736074,2025-04-19T07:21:05.736074,EUR,false,false
006583737734694493,LondonCorp Dynamics - Cloud Migration,001738588377270244,2625025,2026-03-12,Proposal/Price Quote,60,Best Case,Purchased List,New Customer,Opportunity to provide automation platform to LondonCorp Dynamics to address their scalability needs requirements.,Negotiate contract terms and conditions,2025-03-08T07:21:05.736142,2025-04-04T07:21:05.736142,EUR,false,false
006987552781261533,LondonCorp Dynamics - Analytics Solution,001738588377270244,11833182,2026-06-12,Needs Analysis,30,Pipeline,Advertisement,New Customer,Opportunity to provide advanced analytics to LondonCorp Dynamics to address their operational efficiency requirements.,Present detailed solution proposal,2025-03-04T07:21:05.736204,2025-03-25T07:21:05.736204,EUR,false,false
006327789722894669,Monaco Wealth Tech - Platform Upgrade,001400419007481616,51414,2025-02-03,Closed Won,100,Closed,Cold Call,New Customer,Opportunity to provide cloud solutions to Monaco Wealth Tech to address their scalability needs requirements. Successfully completed implementation and achieved measurable ROI.,Initiate project kick-off and onboarding,2024-09-10T07:21:05.736343,2024-10-08T07:21:05.736343,DKK,true,true
006518656586138380,Monaco Wealth Tech - Security Enhancement,001400419007481616,81832,2025-07-07,Closed Lost,0,Omitted,Email Campaign,New Customer,Opportunity to provide cloud solutions to Monaco Wealth Tech to address their operational efficiency requirements. Lost to Oracle due to pricing/feature considerations.,Update competitive intelligence,2025-03-07T07:21:05.736407,2025-03-17T07:21:05.736407,DKK,true,false
006207166751362585,Monaco Wealth Tech - Digital Transformation,001400419007481616,71379,2026-07-22,Negotiation/Review,80,Commit,Web,New Customer,Opportunity to provide cloud solutions to Monaco Wealth Tech to address their competitive advantage requirements.,Finalize contract terms and pricing,2025-04-04T07:21:05.736466,2025-04-09T07:21:05.736466,DKK,false,false
